,Title,Location,Company,Review,Summary,City,State,State Initials
0,Data Scientist,"San Francisco, CA",        Zignal Labs,,"            As a Data Scientist on our Labs and Data Science team, you will work on data analytics and machine learning projects and be involved in solutions from ideation through research and prototyping up to feature delivery -including data quality...",San Francisco, CA, CA
1,Data Engineer - Data Visualization team-San Francisco,"San Francisco, CA 94105 (Financial District area)",        Uber,,"Data scientists, Product Managers, and Operations Teams around the world consume and analyze our data. The Global Data Warehouse team maintains the data objects which answer this question....",San Francisco, CA 94105 (Financial District area), CA
2,Data Scientist - Statistical Inference,"San Francisco, CA 94105 (Financial District area)",        Optimizely,,"            As a Data Scientist at Optimizely, you’ll be in charge of Stats Engine, the core statistics methodology behind all our experiments. You will be a member of the Analytics and Statistics team and work on the cutting edge of statistics,...",San Francisco, CA 94105 (Financial District area), CA
3,Data Scientist - Matching,"San Francisco, CA 94103 (South Of Market area)",        Uber,,"            We are looking for strong data and research scientists to help build the next generation of matching systems at Uber. Machine learning/statistical modeling, data analytics and experimentation skills....",San Francisco, CA 94103 (South Of Market area), CA
4,Data Scientist - Forecasting,"San Francisco, CA 94103 (South Of Market area)",        Uber,,"            Experience with spatial data. Data Scientists on Marketplace combine clear product vision, deep technical skills and powerful data analysis and modeling to improve the algorithms that run Uber’s vast worldwide marketplace every minute of...",San Francisco, CA 94103 (South Of Market area), CA
5,Data Scientist,"San Francisco, CA",        Trianz,,"            As a Data Scientist at Trianz, you will be working with a variety of data sources which may include big data and utilize advanced Machine Learning techniques. 3+ years of professional work experience working with data integration, data...",San Francisco, CA, CA
6,            Software Engineer - Data Visualization,"San Francisco, CA 94105 (Financial District area)",        Uber,,"            Develop data analytics products and advanced user interfaces for data producers and consumers across the company. We serve multiple domains helping teams understand real-time positioning of vehicles, analyze marketplace supply and demand,...",San Francisco, CA 94105 (Financial District area), CA
7,Data Scientist,"Foster City, CA",        Visa,,            Experience with extracting and aggregating data from large data sets using SQL or other tools. To support our rapidly growing group we are looking for Data Scientists who are equally passionate about the opportunity to use Visa’s rich data...,Foster City, CA, CA
8,Data Scientist | Rider Growth,"San Francisco, CA 94103 (South Of Market area)",        Uber,,"            The Data Scientist - Rider Growth role will provide the data expertise as we drive towards enhancing growth and deepening engagement. Excellent SQL skills and the ability to use tools such as Python, R, or Excel to work efficiently at scale...",San Francisco, CA 94103 (South Of Market area), CA
9,Data Scientist,"San Francisco Bay Area, CA",        LimeBike,,"            5+ years of industry experience as a data scientist. We are hiring Data Scientists of all stripes, including but not limited to Machine Learning Researchers / Engineers, Statisticians, Operations Research Scientists, Econometricians,...",San Francisco Bay Area, CA, CA
10,"Data Scientist - San Francisco Bay, California","San Francisco, CA",        Averna,,"            2 years in data science, data mining, and manufacturing operations. Experience with modeling and analysis including statistical analysis and data mining....",San Francisco, CA, CA
11,Data Scientist - Rider Pricing,"San Francisco, CA 94103 (South Of Market area)",        Uber,,            We're looking for a data scientist to build state of the art ML and statistical models that uplevel our pricing systems....,San Francisco, CA 94103 (South Of Market area), CA
12,"Data Scientist, Analytics","San Francisco, CA 94103 (South Of Market area)",        Tonal,,            This is not big data:. Link separate data sources into usable formats. Perform data analysis to extract useful business insights....,San Francisco, CA 94103 (South Of Market area), CA
13,DATA SCIENTIST,"San Bruno, CA 94066",        Walmart eCommerce,,"            Presents data insights and recommendations to key stakeholders. Certificate in business analytics, data mining, or statistical analysis....",San Bruno, CA 94066, CA
14,Data Scientist - Risk & Detection,"San Francisco, CA 94107 (South Of Market area)",        Eventbrite,,"            Our Data Scientists ensure we keep up without our organizers knowing even we’re there by designing low profile, high precision solutions to the ever-changing...",San Francisco, CA 94107 (South Of Market area), CA
15,Data Scientist Intern,"San Francisco, CA",        Rally Health,,"            Leveraging data to measure and improve our offerings through metric development and instrumentation, data investigations, designing and interpreting experiments...",San Francisco, CA, CA
16,Data Scientist - Rider Engagement,"San Francisco, CA 94103 (South Of Market area)",        Uber,,            We're looking for a data scientist to build state of the art machine learning models to improve cost efficiency....,San Francisco, CA 94103 (South Of Market area), CA
17,            Research Data Analyst,"San Francisco, CA",        University of California San Francisco,,"            The Research Data Analyst will be responsible for data analysis, data management, and helping to guide formation and pursuit of scientific hypotheses regarding...",San Francisco, CA, CA
