,Title,Location,Company,Review,Summary
0,            Senior Data Scientist (w/m/d) – Köln,,        EnBW Energie Baden-Württemberg AG,,            Senior Data Scientist(w/m/d). Dann kommen Sie zu ins „EnBW Data Lab“. Arbeiten mit neusten Technologien und Konzepten im Bereich Big Data Analytics. EnBW Energie Baden-Württemberg AG Vertrag unbefristet Köln Vollzeit....
1,Data Scientist (f/m/x) - Frankfurt am Main,,        COBI.Bike GmbH,,"            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to collaborate closely with the COBI.Bike product development teams in our Frankfurt office..."
2,            (Senior) Data Scientist Advanced Analytics (m/w/d) - Neckars...,,        LIDL Stiftung & Co. KG,,"            Du bearbeitest Projekte in interdisziplinären, agilen Teams aus Data Scientists, Data Engineers, Software-Entwicklern und Visualisierungsexperten und präsentierst in regelmäßigen Abständen neue Ergebnisse vor Stakeholdern aus anderen..."
3,"            Biologist, Chemist as (Senior) Scientist - Assay Development...",,        AYOXXA Biosystems GmbH,,"            (Senior) Scientist Assay Development. Good knowledge of data analysis and interpretation tools (e.g. Analysis of experimental data, documentation and reporting of results. With its advantages in terms of quality, flexibility and efficiency,..."
4,Data Scientist / Data Analyst (m/w/d),Köln,        REWE Digital,,            Masterstudium mit Data Science/Analytics-Bezug (z.B. Einschlägige Berufserfahrung im Bereich Data Science/Advanced Analytics. Eigenverantwortliche Durchführung von spannenden und ergebnisorientierten Data Science/Analytics-Projekten rund um...
5,Data Scientist (m/w/d),Köln,        Gothaer Konzern,,            Mitwirkung an der Weiterentwicklung eines „analytischen Data Marts“. Konzeption komplexer Datenanalysen und Entwicklung prognostischer Modelle auf der Basis moderner statistischer Methoden auf großen Datenmengen (Big Data)....
6,Data Scientist (m/f),Köln,        SALOODO! GMBH,,            We are looking for an experienced Data Scientist to join our rapidly growing dynamic Data & AI team and help us building the future of digital logistics. A perfect world to disrupt with data and technology-driven business models....
7,Data Scientist (m/w/d),Köln,        Gothaer,,            Mitwirkung an der Weiterentwicklung eines „analytischen Data Marts“. Konzeption komplexer Datenanalysen und Entwicklung prognostischer Modelle auf der Basis moderner statistischer Methoden auf großen Datenmengen (Big Data)....
8,            (Junior / Senior) Data Scientist (m/w/d),Köln,        Konzernzentrale,,"Data Scientist (m/w/d). Je nach Ihrer bisherigen Erfahrung steigen Sie bei uns als Senior Data Scientist ein und bringen Ihre Kenntnisse ein, um unsere Junior Data Scientisten weiter zu entwickeln – oder Sie erlernen bei uns als Junior Data..."
9,DATA SCIENTIST (M/F/X),Bonn,        Deutsche Post,,"DATA SCIENTIST (M/F/X). As an experienced Data Scientist in the Deutsche Post DHL Group, you will work with our operative departments to solve concrete business problems. You will conduct data analyses, develop mathematical models,..."
10,            (Junior) Data Scientist - Informatiker / Physiker / Mathemat...,Köln,        AXA,,            (Junior) Data Scientist - Informatiker / Physiker / Mathematiker (m/w/d) für unser Data Innovation Lab ( 190004R2 ). Stellenbeschreibung - (Junior) Data Scientist - Informatiker / Physiker / Mathematiker (m/w/d) für unser Data Innovation...
11,            9/2019 Data Scientist (m/w/d),Köln,        Central,,            Dann bewerben Sie sich als Data Scientist (w/m/d) bei der Central Krankenversicherung AG. Die Abteilung Unternehmenscontrolling (UC) sucht für die Gruppe Statistik und Analyse (STA) ab sofort einen Data Scientist (w/m/d) am Standort Köln....
12,Data Scientist w/m/d,Köln,        Bechtle GmbH & Co. KG IT-Systemhaus Bonn/Köln,,"            Interdisziplinäre Zusammenarbeit mit Data Scientists, Solution Architects, Software-Entwicklern und Visualisierungsexperten. DAS IST IHR JOB...."
13,            Big Data Engineer / Scientist (m/w),Köln,        Qimia GmbH,,            Big Data Storage:. Big Data Science Entwicklung:. Entwicklung von Big Data Analytics Anwendung. Konzeption und Realisierung von Big Data Lösungen....
14,            Junior Data Scientist (m/w/d) Medical Devices am Standort Be...,,        Fresenius Medical Care,,            Schlussendlich arbeiten Sie zusammen mit dem Senior Data Scientist an interessanten Projekten – mit moderner Technologie und AI machen Sie unsere Medizintechnik fit für die Zukunft. Zukunft lebenswert gestalten:....
