Title	Location	Company	Review	Summary
Data Scientist (m/f/x)		        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting. Make a difference using your analytical skills to strengthen our...
Data Scientist - Automotive (m/w/d)		        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt. Du experimentierst mit neuen Vorgehensweisen und ermöglichst unseren Kunden...
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to collaborate closely with the COBI.Bike product...
            Lead Data Scientist (m/w/d)		        Zühlke Engineering GmbH		            Lead Data Scientist (m/w/d). Machine Learning trifft auf Maschinendaten....
            Junior Data Scientist (F/M/D)	München	        Oerlikon		            Junior Data Scientist (F/M/D). An enthusiastic Junior Data Scientist (F/M/D). Experience in big data/ data analytics, with a focus on the Hadoop Ecosystem (Hortonworks) and scale-out systems,...
            Junior Data Scientist (m/w/d)	München	        ProSiebenSat.1 Digital Data GmbH		            Junior Data Scientist (m/w/d). Dazu suchen wir einen erfahrenen wie überzeugenden Junior Data Scientist (m/w/d) mit „Can-Do“-Mentalität, um in unserem dynamischen Umfeld den Zukunftstreiber für...
Data Scientist (m/w/d)	München	        jambit GmbH		            Sie erarbeiten in München kreative Lösungen für anspruchsvolle Probleme im Bereich Data-Mining und gehen dabei professionell auf individuelle Kundenwünsche ein. Der praktische Umgang mit Daten und...
Data Scientist (m/w/d)	München	        ProSiebenSat.1 Digital Data GmbH		Data Scientist (m/w/d). Dazu suchen wir einen erfahrenen wie überzeugenden Data Scientist (m/w/d) mit „Can-Do“-Mentalität, um in unserem dynamischen Umfeld den Zukunftstreiber für unserer Geschäfte...
Data Scientist (m/f/d)	München	        AWS EMEA SARL (Germany Branch)		            Interested in creating new state-of-the-art solutions using Machine Learning and Data Mining techniques on Terabytes of Data? Strong communication and data presentation skills....
Data Scientist (m/f/x)	München	        XING Events GmbH		            Solve challenging problems in the context of real-time processing, machine learning, Big Data, distributed systems. Write code for processing and analyzing large amounts of data and help designing new...
            Junior Data Scientist (m/f)	München	        Octimine Technologies		            Challenging data projects with patent, science & company data – structured and unstructured. Use of deep learning algorithms to improve our data quality....
Data Engineer Digitalisierung Produktion (w/m/x)	München	        BMW AG		            Gemeinsam mit den Data Scientisten im Team entwickeln Sie neue Konzepte der Digitalisierung im Produktionsbereich. Die Digitalisierung bietet nicht nur für das Produkt sondern auch für die...
