Country,State,City,Name,Category,Description,Website
Australia,New South Wales,Sydney,Medius Health,Healthcare,An AI health assistant trained by doctors and built by computer data scientists to self-triage the patients to the right level of care.,https://mediushealth.org/
Australia,Queensland,Brisbane,Maxwell MRI,Healthcare,Maxwell MRI is a platform for the next generation of data driven diagnostics. By combining AI deep learning with medical imaging; pathology and EHR data we are delivering a new level of diagnostic speed; performance and accuracy. The first model available on Maxwell is for prostate cancer. Prostate cancer impacts the lives of 1 in 7 men and the current diagnostic methods are slow; inaccurate and expensive. The Maxwell Prostate model is faster; more accurate and more affordable improving patient outcomes and lowering costs.,http://www.maxwellmri.com
Australia,Victoria,Melbourne,Sofihub,Healthcare,Sofihub is a digital assisted living solution using Artificial Intelligence and sensor technology to support seniors to live independently.,https://sofihub.com/
Australia,,,Presagen,Healthcare,Presagen helps businesses automate human-centric tasks using behavioral Artificial Intelligence (AI) technology to increase productivity and performance. Presagen's Behavior-Based Automation Platform and its library of human-behaviors and ready-to-use task specific automation products enables rapid configuration and on-demand access to automation software for businesses.,http://www.presagen.com
Canada,Alberta,Edmonton,Promethean Labs,Healthcare,Promethean Labs is an agtech analytics startup that organizes and interprets weed and disease image data using AI.’_,http://prometheanlabs.ca/
Canada,Ontario,Kingston,Analytics 4 Life,Healthcare,Pioneering digital health using artificial intelligence to develop a completely new form of medical imaging for coronary artery disease,http://analytics4life.com/
Canada,Ontario,Toronto,Cyclica,Healthcare,Cyclica is a biotechnology company that aims to improve drug discovery pipelines by identifying sources of drug failure; such as adverse effects; contraindications; or lack of efficacy; before they result in costly failed clinical trials.,http://www.cyclicarx.com
Canada,Ontario,Toronto,Deep Diagnostics,Healthcare,Deep Diagnostics is developing the world's most advanced clinical decision support tools for medical doctors. The company's state-of-the-art machine learning algorithms highlight areas of interest in CT and MRI images; suggest probabilistic diagnoses; and integrate seamlessly into existing infrastructure to increase diagnostic accuracy; improve patient outcomes; and reduce costs.,http://www.deepdiagnostics.com
Canada,Ontario,Toronto,Deep Genomics,Healthcare,Deep Genomics is combining world-leading expertise in machine learning and genome biology to transform medicine.,http://www.deepgenomics.com
Canada,Ontario,Toronto,Kiwi.ai,Healthcare,Cue your champion to reduce smoking with a smartwatch. Kiwi.ai is software that uses AI to solve problems with sensors.,https://kiwi.ai/
Canada,Ontario,Toronto,Safe Lagoon,Healthcare,Safe Lagoon’_’_Î_s cloud AI engine and app provide a safer smartphone experience for children and peace of mind for their parents,https://safelagoon.com/de/
Canada,Quebec,Montreal,Imagia,Healthcare,Artificial Intelligence for medical image analysis.,http://www.imagia.com
China,Beijing,Beijing,Huiyi Hui Ying,Healthcare,Huiyi Hui Ying is an international cloud computing & AI tech that has created a digital medical imaging and tumor radiotherapy platform.,http://www.huiyihuiying.com/
China,Beijing,Haidian,Fosafer,Healthcare,Fosafer is a high-tech innovative enterprise; focusing on artificial intelligence - biometric field; and machine learning algorithm.,https://www.fosafer.com/
China,Guangdong,Shenzhen,iCarbonX,Healthcare,iCarbonX is a China-based artificial intelligence platform for health data company.,http://www.icarbonx.com
China,NJ,Princeton,Eddatech,Healthcare,EDDA Technology is a prominent international player in the healthcare imaging industry. We are committed to providing the most innovative and advanced clinical applications for enhanced clinical efficiency and effectiveness in imaging-guided cancer treatment.,http://www.eddatech.com.cn/
China,Sichuan,Chengdu,Yhgenomics,Healthcare,,http://www.yhgenomics.com
China,,Beijing,12SIGMA,Healthcare,12SIGMA is a biotechnology company that integrates artificial intelligence and deep learning into modern medical image diagnosis and medical data analysis. 12SIGMA is based in Beijing and San Diego.,http://www.12sigma.cn
China,,Beijing,DeepCare,Healthcare,DeepCare is committed to bringing deep learning and medical imaging to full innovation Future major disease screening and diagnosis,http://www.deepcare.com
China,,Beijing,GeneLife,Healthcare,Genelife is a medical company based on big data technology to provide customers with medical treatment services. The company built a big data medical platform that combines cloud computing technology and deep learning algorithm. It collects information of clinical and biological samples from various data sources such as hospitals; medical centers; and so on. Then; the platform will analyze and mine valuable information from the data it has collected; which in turn will contribute to precise medical treatment.,http://www.gennlife.com
China,,Beijing,Infervision,Healthcare,Infervision (__’ä_Î—_Îç_’À__’_) is a Beijing-based medical imaging company using machine learning and computer vision to help diagnose cancers. Infervision installs its software on-premise at hospitals and updates its image recognition and diagnostics tools based on the data coming in from its training hospitals.,http://www.infervision.com
China,,Beijing,QED Technique,Healthcare,QED Technique (__ÎÛ_Î£ÎŒÎç_’À__’_) is a CAD-based health platform that focuses on intelligent medical image analysis of brain; heart; lung; kidney; and thyroid; using 3D reconstruction; proprietary mathematical models; big data; and artificial intelligence to constantly improve diagnostic accuracy.,http://www.qed-tec.com
