,Title,Location,Company,Review,Summary,City,State,State Initials
0,            Jr Data Scientist,"New York, NY",        Callière Group,,"            Experience using some of the major data science tools e.g. Python (preferable), and/or R. We now have a need for junior Data Scientist(s) in the NY area (or...",New York, NY, NY
1,            Junior Data Scientist,"New York, NY",        1-800-Flowers.com,,"            As Junior Data Scientist, you will be responsible for collecting, cleaning, and extracting data from a variety of systems at 1-800-flowers with intention to run...",New York, NY, NY
2,Data Scientist,"New York, NY 10016 (Gramercy area)",        AETNA,,"            The candidate will be responsible for extracting and manipulating data from multiple, large data sources and using the data to deliver predictive model and...",New York, NY 10016 (Gramercy area), NY
3,Data Science Intern for The Weather Company,"New York, NY 10002 (Lower East Side area)",        IBM,,"            The Weather Company, an IBM Business is hiring a Data Science Intern for the B2B division, to work on interesting industry specific and/or cross-industry...",New York, NY 10002 (Lower East Side area), NY
4,"            Intern, Data Science","New York, NY 10001 (Chelsea area)",        Roku,,            Work along-side our data scientists to build models that can optimize Roku's business. Deep dive into data within the Roku platform....,New York, NY 10001 (Chelsea area), NY
5,Data Scientist - Forecasting & Optimization,"Manhattan, NY",        The Farmer's Dog,,            The Farmer's Dog is looking for a Data Scientist to join the Data Strategy & Insights team. Working with imbalanced data....,Manhattan, NY, NY
6,"            Research Analyst, People Analytics","New York, NY 10011 (Chelsea area)",        Google,,"            Experience working with and manipulating data from businesses (e.g., checking for data issues, cleaning, merging)....",New York, NY 10011 (Chelsea area), NY
7,Data Scientist - Natural Language Processing,"Manhattan, NY",        The Farmer's Dog,,            The Farmer's Dog is looking for a Data Scientist specializing in natural language processing to join the Data Strategy & Insights team....,Manhattan, NY, NY
8,"            Intern, Data Science","New York, NY 10017 (Midtown area)",        Pfizer Inc.,,"            Backend data and software engineering to build scalable solutions/algorithms, data pipelines, and helping to automate data processing challenges....",New York, NY 10017 (Midtown area), NY
9,            2019 University Graduate - Data Scientist - UberEverything (...,"New York, NY 10018 (Clinton area)",        Uber,,"            To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app...",New York, NY 10018 (Clinton area), NY
10,Data Specialist-CPO,"New York, NY 10021 (Upper East Side area)",        Weill Cornell Medicine,,"            Demonstrated ability to gather, and collate statistical and process-oriented data. Presents findings to faculty and other team members by creating appropriate visualizations of data....",New York, NY 10021 (Upper East Side area), NY
11,            Research Data Associate,"New York, NY",        NYU Langone,,"            Extracts data for publications, or provides data collection from outside physicians offices. Compiles data and assists in consolidating and analyzing data for presentation to sponsoring and regulatory...",New York, NY, NY
12,            Junior Data Scientist,"New York, NY 10036",        Viacom,,"            Efficient, automated) data analyses. Experience processing large amounts of structured and unstructured data using Spark, Hive or other Big Data technologies....",New York, NY 10036, NY
13,Data Science Intern,"Brooklyn, NY",        United Technologies Corp. Headquarters,,"            We are seeking highly motivated data scientists to join our Digital Accelerator in Brooklyn, NY. Conduct exploratory data analysis. Experience in programming, data science, machine learning....",Brooklyn, NY, NY
14,Data Science Intern,"New York, NY 10016 (Gramercy area)",        GNY Insurance Companies,,"            You will assist the Chief Actuary and Data Scientist in exploring ways to extract loss control data from our core database (ImageRight). Greater New York Mutual Insurance Company (""GNY"") is an A+...",New York, NY 10016 (Gramercy area), NY
15,Data Scientist,"New York, NY",        Civis Analytics,,            The political R&D group is seeking a Data Scientist to join our team of data scientists and strategists in New York City. Civis Analytics is looking for a Data Scientist to join its DC-based political...,New York, NY, NY
16,            Machine Learning Marketing Intern,"Brooklyn, NY",        Cloudera,,"            You’ll have a chance to work with researchers, developers, data scientists, product managers, and leaders across our business. In addition to data science, machine learning and AI, you’ll work with...",Brooklyn, NY, NY
17,Data Scientist,"New York, NY",        New York University,,            The Public Safety Lab at New York University is looking for a full-time data scientist to build and. Create and provide a data. Oversee a large-scale automated crawl of daily criminal justice data....,New York, NY, NY
18,DATA SCIENCE -INTERN,"New York, NY","        Foot Locker, Inc.",,"            Exploratory data discoveries, data science research, data mining, building data products, and communicating findings to key stakeholders. The Data Science Intern will work with leading data scientists...",New York, NY, NY
19,"Data Scientist, Redtech","New York, NY",        WeWork,,            We are seeking Data Scientists to join the Data & Analytics organization and provide insights and recommendations to drive the strategic direction for WeWork’s technology teams....,New York, NY, NY
20,Data Engineer - Data Visualization team-San Francisco,"San Francisco, CA 94105 (Financial District area)",        Uber,,"Data scientists, Product Managers, and Operations Teams around the world consume and analyze our data. The Global Data Warehouse team maintains the data objects...",San Francisco, CA 94105 (Financial District area), CA
21,Data Scientist - Matching,"San Francisco, CA 94103 (South Of Market area)",        Uber,,            We are looking for strong data and research scientists to help build the next generation of matching systems at Uber....,San Francisco, CA 94103 (South Of Market area), CA
22,Data Scientist,"San Francisco, CA",        Zignal Labs,,"            As a Data Scientist on our Labs and Data Science team, you will work on data analytics and machine learning projects and be involved in solutions from ideation...",San Francisco, CA, CA
